"pop","time","abundance","fsc","chl","ssc","pe","pop","time","abundance.sd","fsc.sd","chl.sd","ssc.sd","pe.sd"
"picoeuk",2015-08-03 14:00:00,2.13852586476936,50149.75,48943.25,39168.5,13219.25,"picoeuk",2015-08-03 14:00:00,0.246165239087488,2426.53585384597,1638.70708690317,870.629082904999,1275.69049929832
"prochloro",2015-08-03 14:00:00,184.611441359289,16796.25,13576.5,19164.75,121.75,"prochloro",2015-08-03 14:00:00,9.800687093327,363.306459250773,255.069271636811,1374.31228256172,0.5
"synecho",2015-08-03 14:00:00,1.31816135081962,29671.5,31623.5,30443.5,25577.5,"synecho",2015-08-03 14:00:00,0.479660335366539,121.162425418664,2787.87691024311,1351.49164505988,1936.94768471772
"beads",2015-08-03 16:00:00,17.1392018408915,52205.75,43491,45109.5,48230,"beads",2015-08-03 16:00:00,2.8481246446322,561.097956391455,2111.69331737984,1517.59513705072,2020.10412272899
"crocco",2015-08-03 16:00:00,0.55999576584363,59038.25,60506.75,42815.75,47385.5,"crocco",2015-08-03 16:00:00,0.050838529943587,491.905394020707,555.409983705731,1129.30136957915,901.938837542029
"picoeuk",2015-08-03 16:00:00,2.30754909510385,50198.75,48248.75,37327,10770.25,"picoeuk",2015-08-03 16:00:00,0.248034335622539,904.72145805583,381.23428929378,611.972766278588,762.180370166188
"prochloro",2015-08-03 16:00:00,176.362363654828,19409.25,13303,18958,121.5,"prochloro",2015-08-03 16:00:00,11.2880841560941,905.925447631684,454.687438430695,1076.97013267159,0.577350269189626
"synecho",2015-08-03 16:00:00,0.974081487889563,31531.75,32369,29398,25714.75,"synecho",2015-08-03 16:00:00,0.0624560113580705,587.752428039788,803.861928442939,1476.86243999455,743.362349956825
"beads",2015-08-03 18:00:00,17.3280260301274,52058,43584.3333333333,45601,48416,"beads",2015-08-03 18:00:00,2.47602650655952,530.602487743885,2311.61963422474,1605.44791257767,2377.76134210311
"crocco",2015-08-03 18:00:00,0.473106331260477,60010.6666666667,61024.3333333333,44685,47584,"crocco",2015-08-03 18:00:00,0.0797419599460597,152.844147200125,296.756353484358,520.953932704227,388.309155184371
"picoeuk",2015-08-03 18:00:00,2.46476353312825,47359.3333333333,47352.6666666667,37974.6666666667,11667,"picoeuk",2015-08-03 18:00:00,0.32349617662126,3318.62807999531,2152.60803058368,1431.76965093318,1636.92027906065
"prochloro",2015-08-03 18:00:00,169.31423758454,21320.6666666667,14552,20104.3333333333,122,"prochloro",2015-08-03 18:00:00,4.44043665992817,48.839874419713,170.061753489725,404.443238703941,0
"synecho",2015-08-03 18:00:00,1.02732849197516,32407.6666666667,32771.6666666667,30891.6666666667,25609.3333333333,"synecho",2015-08-03 18:00:00,0.209282590909704,583.998573057617,761.006132257378,1241.13026444984,380.138571225459
"beads",2015-08-03 20:00:00,13.7766781659592,52109.6666666667,43397,45353.3333333333,48190,"beads",2015-08-03 20:00:00,4.51177225383499,845.284764640493,2671.92309021049,2115.21496149525,2752.5864200784
"crocco",2015-08-03 20:00:00,0.433934240762105,59781,60281.6666666667,44394,46246,"crocco",2015-08-03 20:00:00,0.188189694567675,328.388489445047,506.715238899851,202.977831301844,366.901894244224
"picoeuk",2015-08-03 20:00:00,2.01951375293464,49821,48869.3333333333,37989,11166.3333333333,"picoeuk",2015-08-03 20:00:00,0.0631685848539717,2113.69841746641,1281.66935413676,113.960519479335,359.461170828413
"prochloro",2015-08-03 20:00:00,170.330129581876,19712.6666666667,14474,19810,121.333333333333,"prochloro",2015-08-03 20:00:00,2.82936809351363,226.40082449791,209.878536301357,678.042034095232,0.577350269189626
"synecho",2015-08-03 20:00:00,0.8472831694272,31449,32482.6666666667,30329.6666666667,25336.6666666667,"synecho",2015-08-03 20:00:00,0.061759286739296,491.149671688784,314.092873738538,1088.56342641728,356.053834880813
"beads",2015-08-03 22:00:00,16.4086056228822,52594.3333333333,45090,46729.6666666667,49650,"beads",2015-08-03 22:00:00,0.669212886905512,691.914252876275,1789.54407601489,184.185594804082,1175.53221989021
"crocco",2015-08-03 22:00:00,0.465156928510213,59769.6666666667,60414.3333333333,44636.6666666667,47119.3333333333,"crocco",2015-08-03 22:00:00,0.0965046194769175,224.589254714764,231.651318436424,1263.53643925822,1062.42427181109
"picoeuk",2015-08-03 22:00:00,2.32620922879904,47556.6666666667,47642.3333333333,38773,10472.6666666667,"picoeuk",2015-08-03 22:00:00,0.248304708727026,2344.98727786172,3209.13451468357,767.40406566554,1744.84965923524
"prochloro",2015-08-03 22:00:00,210.412557141534,15660.6666666667,13258.6666666667,18588.3333333333,122,"prochloro",2015-08-03 22:00:00,5.88447905919942,140.129701824179,266.075803735201,586.390938993206,0
"synecho",2015-08-03 22:00:00,1.07787752822715,29841,31316.6666666667,30681.6666666667,24390.3333333333,"synecho",2015-08-03 22:00:00,0.188371507063085,361.465074384788,813.664140375704,1199.76219865994,1278.12923185933
"beads",2015-08-04 00:00:00,19.5796442756298,51667,41999.3333333333,44522.3333333333,46906.6666666667,"beads",2015-08-04 00:00:00,2.09984588436212,29.8161030317511,743.637904717971,1513.70615818703,1134.19148882952
"crocco",2015-08-04 00:00:00,0.472619954003529,59291.6666666667,60763,44010,46107,"crocco",2015-08-04 00:00:00,0.0340481899408937,83.428612198294,837.634168357523,1126.99201416869,1469.06398771463
"picoeuk",2015-08-04 00:00:00,2.21102723701976,50538.6666666667,48249,38047.6666666667,13149.3333333333,"picoeuk",2015-08-04 00:00:00,0.202114282890363,1316.44761890982,336.218678838639,1056.67986321938,344.052806024502
"prochloro",2015-08-04 00:00:00,201.088193541119,13454,11658.5,16253.5,121,"prochloro",2015-08-04 00:00:00,0.585642774568473,46.6690475583121,68.5893577750951,44.5477272147525,0
"synecho",2015-08-04 00:00:00,1.26720147540534,28219.3333333333,29705,29018.6666666667,22915.6666666667,"synecho",2015-08-04 00:00:00,0.209387109779126,128.896599386226,466.3335715987,1624.3104177876,778.627210758353
"beads",2015-08-04 02:00:00,16.7186967681892,51873.3333333333,41900,44031,46580.3333333333,"beads",2015-08-04 02:00:00,3.69718992879899,59.6852857355423,343.959299917883,574.31350323669,480.658229237088
"crocco",2015-08-04 02:00:00,0.376909000664079,58847,62960.3333333333,42787.6666666667,48070.6666666667,"crocco",2015-08-04 02:00:00,0.0360175406468849,100.935623047564,364.719526942736,713.418764354662,317.769308356445
"picoeuk",2015-08-04 02:00:00,2.1987565031769,49948,49118.3333333333,37834.6666666667,10275,"picoeuk",2015-08-04 02:00:00,0.275532202566551,950.486191377865,8.50490054811538,334.881073417614,2265.42998126184
"prochloro",2015-08-04 02:00:00,208.681914642153,12455.6666666667,12488.3333333333,16371.6666666667,121,"prochloro",2015-08-04 02:00:00,5.39406515197873,52.5388744962559,238.298832001614,577.254132365749,0
"synecho",2015-08-04 02:00:00,1.0517200486711,26793,30351.6666666667,28764.3333333333,23924,"synecho",2015-08-04 02:00:00,0.0871172181373826,191.392267346411,547.478157859593,772.134919125753,430.585647693929
"beads",2015-08-04 04:00:00,15.8841362852774,51570,43058.5,46538,48020.5,"beads",2015-08-04 04:00:00,0.936652255261176,288.499566724111,185.969083452062,366.281312654632,492.853426487024
"crocco",2015-08-04 04:00:00,0.264824154231117,57732,64920.5,44539.5,50071.5,"crocco",2015-08-04 04:00:00,0.0579423089817596,5.65685424949238,122.329473145273,635.688996286706,67.175144212722
"picoeuk",2015-08-04 04:00:00,2.32534869076538,48766.5,48643.5,38397.5,12103.5,"picoeuk",2015-08-04 04:00:00,0.501573796473079,1919.79491092148,1052.88199718677,2225.26504039407,3161.47441868505
"prochloro",2015-08-04 04:00:00,218.825835511169,12954.5,14702,18375.5,121.5,"prochloro",2015-08-04 04:00:00,3.40820778733577,297.691954879537,398.808224589213,147.785317267988,0.707106781186548
"synecho",2015-08-04 04:00:00,1.16143612157772,27339,32875.5,30080,26551,"synecho",2015-08-04 04:00:00,0.00191565988721779,371.938166904124,68.5893577750951,60.8111831820431,155.56349186104
"beads",2015-08-04 06:00:00,16.9296729456246,51972.6666666667,43172,44966.6666666667,47783.6666666667,"beads",2015-08-04 06:00:00,2.04910945488989,382.72879867255,1972.99290419403,1189.15824570716,1802.69529686338
"crocco",2015-08-04 06:00:00,0.307181263305212,57583.6666666667,65441.3333333333,42477.3333333333,51033.6666666667,"crocco",2015-08-04 06:00:00,0.0484677278445931,575.508760431441,162.235425642285,311.795338857612,85.0078427754365
"picoeuk",2015-08-04 06:00:00,2.1331648389985,50767,50010.3333333333,38129,12221.6666666667,"picoeuk",2015-08-04 06:00:00,0.0826967989822576,561.379550749758,395.72001886856,160.502336431592,1289.53260266398
"prochloro",2015-08-04 06:00:00,218.335389628498,12910,14521.6666666667,17544,121.666666666667,"prochloro",2015-08-04 06:00:00,5.6729707695787,42.7551166528639,77.1513663737288,513.065297988472,0.577350269189626
"synecho",2015-08-04 06:00:00,1.08137348435782,26448,33972.3333333333,29649,27268,"synecho",2015-08-04 06:00:00,0.0854905787454244,834.73768334729,550.627218118877,516.538478721576,742.197413091692
"beads",2015-08-04 08:00:00,17.2918001473917,52130,43308.3333333333,44915,47868.6666666667,"beads",2015-08-04 08:00:00,4.05173321205549,715.185989795661,1890.04188666107,728.032279504144,1557.04506464435
"crocco",2015-08-04 08:00:00,0.355127663830436,59852.6666666667,63831,49906.6666666667,51383.3333333333,"crocco",2015-08-04 08:00:00,0.127446909765489,3607.3643194628,2951.41457609737,12718.4996494608,1704.43666157864
"picoeuk",2015-08-04 08:00:00,2.55290545566354,48723.3333333333,49098.6666666667,37647.3333333333,11033.3333333333,"picoeuk",2015-08-04 08:00:00,0.251161305540148,1027.40952561933,1144.96521053407,434.345868327688,1366.77186586984
"prochloro",2015-08-04 08:00:00,210.102665137641,13410.5,14525,17184,121.5,"prochloro",2015-08-04 08:00:00,10.3117685982206,61.5182899632296,147.078210486802,613.768686069923,0.707106781186548
"synecho",2015-08-04 08:00:00,1.01748090694448,27027.6666666667,34234.3333333333,28786.3333333333,27376.3333333333,"synecho",2015-08-04 08:00:00,0.116353425491086,241.504313281012,441.590685288235,828.16564365671,235.04538568824
