local.time,fcs.file,label,Volume,i,n,fsc,chl,ssc,green,conc,duplicate,exp,lat,long
10/29/11 16:00,Francois.20120214.A.0011.fcs,TC1 1600+1 C,163.67,beads,12905,63232,39055,44749,52074,78.84768131,C,TC1,33.63,140.31
10/29/11 16:00,Francois.20120213.A.0009.fcs,TC1 1600+1 A,157.4,heteroBact,57055,11812,13572,13588,13145,362.4841169,A,TC1,33.63,140.31
10/29/11 16:00,Francois.20120213.A.0009.fcs,TC1 1600+1 A,157.4,synecho,1296,39641,30970,28879,25148,8.233799238,A,TC1,33.63,140.31
10/29/11 16:00,Francois.20120214.A.0011.fcs,TC1 1600+1 C,163.67,synecho,1824,37815,28453,28224,25663,11.14437588,C,TC1,33.63,140.31
10/31/11 12:00,francois.20120208.A.0004.fcs,TC2 1200 C,124.5,beads,7584,65495,47411,64544,65535,60.91566265,C,TC2,26.1,147.2
10/31/11 12:00,francois.20120208.A.0004.fcs,TC2 1200 C,124.5,synecho,964,52713,34026,47914,40116,7.742971888,C,TC2,26.1,147.2
10/31/11 12:00,francois.20120208.A.0004.fcs,TC2 1200 C,124.5,prochloro,38788,39354,27289,36979,32545,311.5502008,C,TC2,26.1,147.2
10/31/11 12:00,francois.20120208.A.0004.fcs,TC2 1200 C,124.5,heteroBact,47418,28739,20662,35387,26496,380.8674699,C,TC2,26.1,147.2
10/31/11 12:00,francois.20120209.A.0015.fcs,TC2 1200 B,162.5,heteroBact,72847,11186,14324,15234,13710,448.2892308,B,TC2,26.1,147.2
10/31/11 12:00,francois.20120209.A.0013.fcs,TC2 1200 A,159.3,heteroBact,63630,11022,13832,15470,13038,399.4350282,A,TC2,26.1,147.2
10/31/11 12:00,francois.20120209.A.0013.fcs,TC2 1200 A,159.3,beads,9974,62688,39846,46024,52741,62.61142498,A,TC2,26.1,147.2
10/31/11 12:00,francois.20120209.A.0013.fcs,TC2 1200 A,159.3,synecho,1809,34903,27447,28469,26981,11.3559322,A,TC2,26.1,147.2
