file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2013_112/319.evt,398756,1843456,1756672,31,39133,336,180,0,2500,-31529,2500,-29998,2500,2500
2013_112/319.evt,412254,1843456,1756672,35,40605,356,211,0,5000,-29029,5000,-27498,2500,5000
2013_112/319.evt,421208,1843456,1756672,45,42279,365,255,0,7500,-26529,7500,-24998,2500,7500
2013_112/319.evt,428780,1843456,1756672,58,44071,379,289,0,10000,-24029,10000,-22498,2500,10000
2013_114/163.evt,450462,1841920,1728426,73,56617,471,273,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_114/163.evt,3330,1841920,1728426,30,1919,367,123,0,-10000,-44029,-10000,-42498,2500,-10000
2013_114/163.evt,11968,1841920,1728426,43,10429,387,141,0,-7500,-41529,-7500,-39998,2500,-7500
2013_114/163.evt,28164,1841920,1728426,49,26540,396,159,0,-5000,-39029,-5000,-37498,2500,-5000
2013_114/163.evt,43462,1841920,1728426,54,41751,413,181,0,-2500,-36529,-2500,-34998,2500,-2500
2013_114/163.evt,56159,1841920,1728426,57,51751,420,204,0,0,-34029,0,-32498,2500,0
2013_114/163.evt,427820,1841920,1728426,63,54668,447,234,0,2500,-31529,2500,-29998,2500,2500
2013_114/163.evt,447526,1841920,1728426,71,56312,465,265,0,5000,-29029,5000,-27498,2500,5000
2013_114/163.evt,459648,1841920,1728426,84,57597,488,309,0,7500,-26529,7500,-24998,2500,7500
2013_114/163.evt,468369,1841920,1728426,93,58601,521,346,0,10000,-24029,10000,-22498,2500,10000
2013_115/295.evt,406935,2052992,1959771,127,42648,2203,264,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_115/295.evt,10116,2052992,1959771,61,7958,1630,91,0,-10000,-44029,-10000,-42498,2500,-10000
2013_115/295.evt,18311,2052992,1959771,82,16012,1698,119,0,-7500,-41529,-7500,-39998,2500,-7500
2013_115/295.evt,27173,2052992,1959771,92,24736,1763,141,0,-5000,-39029,-5000,-37498,2500,-5000
2013_115/295.evt,33919,2052992,1959771,98,31314,1853,164,0,-2500,-36529,-2500,-34998,2500,-2500
2013_115/295.evt,40311,2052992,1959771,104,37049,1944,184,0,0,-34029,0,-32498,2500,0
2013_115/295.evt,386315,2052992,1959771,117,40058,2065,217,0,2500,-31529,2500,-29998,2500,2500
2013_115/295.evt,404068,2052992,1959771,123,42195,2178,254,0,5000,-29029,5000,-27498,2500,5000
2013_115/295.evt,416817,2052992,1959771,139,44478,2341,295,0,7500,-26529,7500,-24998,2500,7500
2013_115/295.evt,428080,2052992,1959771,157,47085,2489,339,0,10000,-24029,10000,-22498,2500,10000
2013_116/407.evt,277887,2300160,2256632,1139,230988,876,424,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_116/407.evt,7304,2300160,2256632,652,5687,438,259,0,-10000,-44029,-10000,-42498,2500,-10000
2013_116/407.evt,13701,2300160,2256632,817,11763,506,299,0,-7500,-41529,-7500,-39998,2500,-7500
2013_116/407.evt,20989,2300160,2256632,921,18803,566,329,0,-5000,-39029,-5000,-37498,2500,-5000
2013_116/407.evt,27143,2300160,2256632,981,24740,640,357,0,-2500,-36529,-2500,-34998,2500,-2500
2013_116/407.evt,33073,2300160,2256632,1024,30448,717,373,0,0,-34029,0,-32498,2500,0
2013_116/407.evt,234223,2300160,2256632,1082,194653,789,396,0,2500,-31529,2500,-29998,2500,2500
2013_116/407.evt,271503,2300160,2256632,1125,225640,858,419,0,5000,-29029,5000,-27498,2500,5000
2013_116/407.evt,300478,2300160,2256632,1168,250040,907,445,0,7500,-26529,7500,-24998,2500,7500
2013_116/407.evt,327208,2300160,2256632,1202,272930,951,478,0,10000,-24029,10000,-22498,2500,10000
2013_117/392.evt,380077,2528640,2459344,113,48283,732,268,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_117/392.evt,11182,2528640,2459344,51,10347,443,80,0,-10000,-44029,-10000,-42498,2500,-10000
2013_117/392.evt,19761,2528640,2459344,69,18801,473,115,0,-7500,-41529,-7500,-39998,2500,-7500
2013_117/392.evt,28196,2528640,2459344,76,27136,508,140,0,-5000,-39029,-5000,-37498,2500,-5000
2013_117/392.evt,35005,2528640,2459344,84,33824,554,165,0,-2500,-36529,-2500,-34998,2500,-2500
2013_117/392.evt,41792,2528640,2459344,93,39954,599,191,0,0,-34029,0,-32498,2500,0
2013_117/392.evt,350272,2528640,2459344,101,43856,658,220,0,2500,-31529,2500,-29998,2500,2500
2013_117/392.evt,375845,2528640,2459344,112,47493,718,257,0,5000,-29029,5000,-27498,2500,5000
2013_117/392.evt,395241,2528640,2459344,118,51776,802,300,0,7500,-26529,7500,-24998,2500,7500
2013_117/392.evt,413571,2528640,2459344,121,56824,867,338,0,10000,-24029,10000,-22498,2500,10000
2013_118/393.evt,446962,2128128,2019140,239,36575,191,156,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_118/393.evt,15636,2128128,2019140,121,15224,119,71,0,-10000,-44029,-10000,-42498,2500,-10000
2013_118/393.evt,22398,2128128,2019140,147,21924,129,81,0,-7500,-41529,-7500,-39998,2500,-7500
2013_118/393.evt,27692,2128128,2019140,166,27157,139,95,0,-5000,-39029,-5000,-37498,2500,-5000
2013_118/393.evt,31557,2128128,2019140,181,30894,151,103,0,-2500,-36529,-2500,-34998,2500,-2500
2013_118/393.evt,35872,2128128,2019140,201,32937,159,118,0,0,-34029,0,-32498,2500,0
2013_118/393.evt,425617,2128128,2019140,217,34419,170,130,0,2500,-31529,2500,-29998,2500,2500
2013_118/393.evt,444264,2128128,2019140,236,36171,188,151,0,5000,-29029,5000,-27498,2500,5000
2013_118/393.evt,456430,2128128,2019140,255,38432,205,179,0,7500,-26529,7500,-24998,2500,7500
2013_118/393.evt,467417,2128128,2019140,276,41242,225,208,0,10000,-24029,10000,-22498,2500,10000
2013_120/231.evt,386368,1989632,1908106,365,289140,730,558,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
